id,kawasan_toko,visit_extra,is_handover,sr_id,employee_id_consume,salesman_id,diskon,kawasan_toko_oth,user_id,plafon_over_access,alamat,dtm_crt,nik,is_kasus,sisa_kredit_noo,tipe,kelurahan,frek_kunjungan,teamleader_id_creator,name,latitude_longitude,is_acc,image_toko_after,salesman_temp,date_last_visit_by_salesman,image_ktp,is_verifikasi,salesman_type_id,image_toko,customer_ids,user_id_holder,kode_customer,qr_code,kecamatan,akses_double_kredit,tanggal_verifikasi,branch_id,validated,sync_key,outlet_photo,tag,is_count_insentif,is_consume,consume_at,outlet_name,is_aktif,kabupaten,is_verifikasi_lokasi,area_id,salesman_id_creator,plafon_over_nominal,frek_kunjungan_oth,is_mandiri,set_mandiri_by,subject_type_id,phone,hari_kunjungan,merchandiser_id_creator,rayon_id,plafond,piutang,dtm_upd,provinsi,created_id,note,verified_by,date_last_transaction
7811687744870099,GANG KECIL,2023-06-26 09:00:50 +0000 UTC,<nil>,<nil>,<nil>,781,0,<nil>,<nil>,<nil>,malang,2023-06-26 09:01:10 +0000 UTC,57817811687744870099,0,0,1,malang,PER MINGGU,<nil>,test 3,"12312312124,1231241249",1,<nil>,<nil>,2024-06-19 00:00:00 +0000 UTC,<nil>,1,<nil>,<nil>,{},933,7811687744870099,<nil>,malang,<nil>,2024-06-07 14:36:52.287741 +0000 UTC,<nil>,1,781-1687744870100,"{debug_kunjungan_0_1718785016661.jpg,kunjungan_0_1714440660173.jpg,debug_kunjungan_0_1713841489526.png,kunjungan_0_1713251966073.jpg,kunjungan_0_1712286416735.jpg,kunjungan_0_1712040002199.jpg,debug_kunjungan_0_1711956868818.jpg,kunjungan_0_1710302836908.jpg,kunjungan_0_1709715834958.jpg,kunjungan_0_1709625648175.jpg,kunjungan_0_1707632173854.jpg,kunjungan_0_1706499878146.jpg,debug_kunjungan_0_1705898342235.jpg,debug_kunjungan_0_1705548266966.jpg}",REGULAR,1,<nil>,<nil>,test 3,0,malang,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,11111,KAMIS,<nil>,<nil>,0,0,2023-06-26 09:01:10 +0000 UTC,MALANG,<nil>,<nil>,1,2024-04-30 00:00:00 +0000 UTC
781171688694030745,Gang Kecil,<nil>,<nil>,<nil>,<nil>,781,0,<nil>,<nil>,<nil>,123,2024-05-28 16:02:20 +0000 UTC,-,0,0,0,Aeng Merah,<nil>,<nil>,ahmaaaa,"-7.969410145134234,112.61855659850885",0,<nil>,<nil>,2024-10-15 00:00:00 +0000 UTC,<nil>,0,1,<nil>,"{781171688676085283,781171688689655834,781171435591035042,5151691545686614,5151691550328532,5151691546343695,10461690271469103,568169778762812099,10461690271373218,486170856965587877}",933,781171688694030745,<nil>,Batu Putih,<nil>,<nil>,<nil>,0,<nil>,"{kunjungan_0_1728991698612.jpg,kunjungan_0_1728900628339.jpg,kunjungan_0_1728525331821.jpg,kunjungan_0_1728002710235.jpg,kunjungan_0_1722996414243.jpg,kunjungan_0_1721871506135.jpg,kunjungan_0_1721784218223.jpg,debug_kunjungan_0_1716887221162.jpeg}",REGULAR,1,<nil>,<nil>,toko baru aja,1,KAB. SUMENEP,<nil>,15101,<nil>,<nil>,<nil>,0,<nil>,<nil>,081,<nil>,<nil>,<nil>,0,0,2024-05-28 16:02:20 +0000 UTC,Jawa Timur,781,<nil>,<nil>,2024-10-15 00:00:00 +0000 UTC
781171496734745164,Ruko/Cafe/Resto,<nil>,<nil>,<nil>,<nil>,781,0,<nil>,<nil>,<nil>,Bareng Tengah,2024-05-06 10:49:07 +0000 UTC,-,0,0,1,Bareng,<nil>,<nil>,rushel,"-7.977894297892271,112.62060906136765",0,<nil>,<nil>,2024-05-06 00:00:00 +0000 UTC,<nil>,0,1,<nil>,{},933,781171496734745164,<nil>,Klojen,<nil>,<nil>,<nil>,0,<nil>,{kunjungan_0_1714967906475.jpg},REGULAR,1,<nil>,<nil>,abc nart,0,KOTA MALANG,<nil>,15101,<nil>,<nil>,<nil>,0,<nil>,<nil>,081234567890,<nil>,<nil>,<nil>,0,0,2024-05-06 10:49:07 +0000 UTC,Jawa Timur,781,<nil>,<nil>,<nil>
781171496556323982,Jalan Utama,<nil>,<nil>,<nil>,<nil>,781,0,<nil>,933,<nil>,jl.,2024-05-06 10:19:23 +0000 UTC,-,0,0,0,Adan adan,<nil>,<nil>,tes,"-7.963424649325725,112.62123770773401",0,<nil>,<nil>,2024-06-03 00:00:00 +0000 UTC,<nil>,0,1,<nil>,{},933,781171496556323982,<nil>,Gurah,<nil>,<nil>,<nil>,0,<nil>,"{kunjungan_0_1717414130899.jpg,kunjungan_0_1714966748306.jpg}",REGULAR,1,<nil>,<nil>,fggjn,0,KAB. KEDIRI,<nil>,15101,<nil>,<nil>,<nil>,0,<nil>,<nil>,0885,<nil>,<nil>,<nil>,0,0,2024-05-06 10:19:23 +0000 UTC,Jawa Timur,781,<nil>,<nil>,2024-06-03 00:00:00 +0000 UTC
781171444195165119,Pasar Tradisional,<nil>,<nil>,<nil>,<nil>,781,0,<nil>,<nil>,2024-06-04 23:59:00 +0000 UTC,rungkut,2024-04-30 08:52:31 +0000 UTC,-,0,0,2,Rungkut Tengah,<nil>,<nil>,coba,"-7.320852987842334,112.76986191708909",0,<nil>,<nil>,2024-04-30 00:00:00 +0000 UTC,<nil>,0,1,<nil>,{},933,781171444195165119,<nil>,Gunung Anyar,<nil>,<nil>,<nil>,0,<nil>,{kunjungan_0_1714442607861.jpg},REGULAR,1,<nil>,<nil>,coba mart,0,KOTA SURABAYA,<nil>,15101,<nil>,7e+06,<nil>,0,<nil>,<nil>,0987654321,<nil>,<nil>,<nil>,0,0,2024-04-30 08:52:31 +0000 UTC,Jawa Timur,781,<nil>,<nil>,2024-04-30 00:00:00 +0000 UTC
781171444119852252,Jalan Utama,<nil>,<nil>,<nil>,<nil>,781,0,<nil>,<nil>,<nil>,jemursari,2024-04-30 08:39:58 +0000 UTC,-,0,0,1,Jemur Wonosari,<nil>,<nil>,pk ilham,"-7.320759400000018,112.74985259999998",0,<nil>,<nil>,2024-05-09 00:00:00 +0000 UTC,<nil>,0,1,<nil>,{},933,781171444119852252,<nil>,Wonocolo,<nil>,<nil>,<nil>,0,<nil>,"{kunjungan_0_1715239424332.jpg,kunjungan_0_1714441393718.jpg}",REGULAR,1,<nil>,<nil>,ilham mart,0,KOTA SURABAYA,<nil>,15101,<nil>,<nil>,<nil>,0,<nil>,<nil>,08123456789,<nil>,<nil>,<nil>,0,0,2024-04-30 08:39:58 +0000 UTC,Jawa Timur,781,<nil>,<nil>,2024-04-30 00:00:00 +0000 UTC
781171435591035042,Gang Kecil,<nil>,<nil>,<nil>,<nil>,781,0,<nil>,<nil>,2024-05-29 23:59:00 +0000 UTC,tes,2024-04-29 08:58:30 +0000 UTC,-,0,0,0,Aeng Merah,<nil>,<nil>,ahmad rizal,"-7.969423851825039,112.61853083647462",0,<nil>,<nil>,2024-08-01 00:00:00 +0000 UTC,<nil>,0,1,<nil>,{},933,781171435591035042,<nil>,Batu Putih,<nil>,<nil>,<nil>,0,<nil>,"{kunjungan_0_1722513976100.jpg,kunjungan_0_1722428368882.jpg,kunjungan_0_1721784000741.jpg,kunjungan_0_1721697054381.jpg,kunjungan_0_1719201623887.jpg,kunjungan_0_1717474794742.jpg,kunjungan_0_1714709761951.jpg,debug_kunjungan_0_1714363593777.png}",REGULAR,1,<nil>,<nil>,rizal,1,KAB. SUMENEP,<nil>,15101,<nil>,100,<nil>,0,<nil>,<nil>,08123431231,<nil>,<nil>,<nil>,<nil>,0,2024-04-29 08:58:30 +0000 UTC,Jawa Timur,781,<nil>,<nil>,2024-08-01 00:00:00 +0000 UTC
77472,<nil>,<nil>,<nil>,<nil>,<nil>,781,0,<nil>,2097,2024-05-29 23:59:00 +0000 UTC,AAAAAAAAAAAAA,2024-03-27 10:37:39.864976 +0000 UTC,-,0,0,0,<nil>,<nil>,<nil>,CUSTOMER TEST 2,"0,0",0,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,"{123,123,321}",933,C123,<nil>,<nil>,<nil>,<nil>,111,0,<nil>,<nil>,REGULAR,1,<nil>,<nil>,TESTTTTTTTTTTTTT 77472,1,<nil>,<nil>,<nil>,<nil>,100000,<nil>,0,<nil>,<nil>,081359613831,<nil>,<nil>,<nil>,0,0,2024-03-27 10:37:39.864976 +0000 UTC,<nil>,<nil>,<nil>,<nil>,2024-08-02 00:00:00 +0000 UTC
77471,<nil>,<nil>,<nil>,<nil>,<nil>,781,0,<nil>,1407,<nil>,test,2024-03-27 10:37:39 +0000 UTC,-,0,0,0,Abar Abir,<nil>,<nil>,test customer tokoku,"0.0,0.0",0,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,<nil>,933,77471,<nil>,Bungah,<nil>,<nil>,111,0,<nil>,<nil>,REGULAR,1,<nil>,<nil>,test 77471,0,KAB. GRESIK,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,087741135521,<nil>,<nil>,<nil>,0,0,2024-03-27 10:37:39 +0000 UTC,Jawa Timur,<nil>,<nil>,<nil>,<nil>
781170486174903638,Jalan Utama,<nil>,<nil>,<nil>,<nil>,781,0,<nil>,<nil>,<nil>,Jalanin aja dulu,2024-01-10 11:42:29 +0000 UTC,-,0,0,0,Lowokwaru,<nil>,<nil>,Fulan dan Fulany,"-7.9518572,112.6059715",0,<nil>,<nil>,2024-01-10 00:00:00 +0000 UTC,<nil>,0,1,<nil>,{},933,781170486174903638,<nil>,Lowokwaru,<nil>,<nil>,<nil>,0,<nil>,{debug_kunjungan_0_1704862060486.png},REGULAR,1,<nil>,<nil>,Toko Si Fulan dan Fulany,0,KOTA MALANG,<nil>,15101,<nil>,<nil>,<nil>,0,<nil>,<nil>,1234567890,<nil>,<nil>,<nil>,0,0,2024-01-10 11:42:29 +0000 UTC,Jawa Timur,781,<nil>,<nil>,<nil>
